■ 월별 박스오피스,,,,,,,,,,,,
- 조회일: 2023-08-11,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 202301~202306   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,,,
,,,,,,,,,,,,
● 2023년 06월,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,배급사
176,홀리 모터스,2013-04-04,1381000,0,177280400,155,22330,1,7,프랑스,"프랑스,독일","(주)영화사 안다미로,오드"
181,이태석,2022-12-29,1071000,0,50118396,153,6130,1,1,한국,한국,"THE 픽쳐스,주식회사 블루필름웍스"
182,워터 프론트,,304000,0,10991000,152,5474,1,9,,,
183,골목이 끝나는 곳,,307000,0,3661000,151,1823,1,10,미국,미국,
183,열녀문,,307000,0,11367000,151,5430,1,12,한국,한국,
185,일요일은 참으세요,,300000,0,5852000,150,2780,1,12,그리스,그리스,
186,뿌까의 짜장면파티,2022-07-04,888000,0,155715500,148,25811,2,5,한국,한국,(주)에픽캔
186,애프터썬,2023-02-01,1355000,0,480612238,148,49386,2,9,영국,영국,"그린나래미디어(주),(주)영화사 안다미로"
186,타이탄,,296000,0,1658000,148,619,1,12,이탈리아,"이탈리아,프랑스,스페인",
189,나비부인,,3648000,0,3648000,146,146,10,39,독일,독일,
190,뮤지컬 청춘소음,2023-06-07,2899500,0,2899500,145,145,7,39,한국,한국,주식회사 푸른잎커뮤니케이션
190,스트리머,2023-05-10,1023500,0,198703100,145,22111,2,20,한국,한국,"TCO(주)더콘텐츠온,(주)블루라벨픽쳐스"
192,플래닛,2023-07-05,1278000,0,1278000,142,142,1,1,러시아,러시아,(주)올스타엔터테인먼트
193,보리수 2,,140000,0,140000,140,140,1,8,독일,독일,
193,너의 새는 노래할 수 있어,2020-04-16,897050,0,23039950,140,2608,1,9,일본,일본,(주)디오시네마
193,그녀,2014-05-22,2094000,0,3028276744,140,371369,1,1,미국,미국,"주식회사 더쿱,유니버설픽쳐스인터내셔널 코리아(유)"
193,아멜리에,2001-10-19,2094000,0,123454850,140,13519,1,1,프랑스,프랑스,"(주)영화사 안다미로,(주)블룸즈베리리소시스리미티드,콜럼비아"
