■ 기간별 박스오피스,,,,,,,,,,,,,,,,,
- 조회일: 2023-08-11,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2023-01-01~2023-06-30   영화구분: 전체   국적: 전체   지역: 전체   제작사 : 전체   배급사 : 전체   감독명 : 전체   배우명 : 전체   등급별 : 전체   장르별 : 전체 ],,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
59,너의 이름은.,2017-01-04,641335260,0.001,31290797177,67201,3863430,101,2802,일본,일본,,플러스엠 엔터테인먼트,12세이상관람가,"애니메이션,드라마,멜로/로맨스",신카이 마코토,"카미키 류노스케,카미시라이시 모네,나가사와 마사미,이치하라 에수코,유키 아오이,시마자키 노부나가,이시카와 카이토,타니 카논"
60,명탐정코난: 하이바라 아이 이야기 ~흑철의 미스터리 트레인,2023-06-23,606177200,0.001,606177200,58782,58782,176,3040,일본,일본,,(주)씨제이이엔엠,12세이상관람가,애니메이션,,"타카야마 미나미,하야시바라 메구미"
61,바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,2023-02-23,511513000,0.001,511513000,57452,57452,284,5036,영국,영국,,와이드 릴리즈(주),전체관람가,"애니메이션,액션,어드벤처",,"하성용,정재헌,엄상현,윤승희,김율,유동균,김정은,한경화,박성영,이재현"
62,더 웨일,2023-03-01,556366366,0.001,556366366,56586,56586,203,4806,미국,미국,,(주)스튜디오디에이치엘,15세이상관람가,드라마,대런 아로노프스키,브렌든 프레이저
63,슬픔의 삼각형,2023-05-17,549874868,0.001,549874868,56214,56214,294,5121,미국,미국,,"그린나래미디어(주),(주)플레이그램,메가박스중앙(주)",15세이상관람가,"코미디,드라마",루벤 외스틀룬드,"우디 해럴슨,해리스 딕킨슨"
64,라일 라일 크로커다일,2023-01-18,502081439,0.001,502081439,54192,54192,384,5072,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"가족,뮤지컬,드라마","조쉬 고든,윌 스펙","하비에르 바르뎀,콘스탄스 우,스쿳 맥네이리,윈슬로우 페글리,숀 멘데스,브렛 겔맨"
65,렌필드,2023-04-19,488403949,0.001,488403949,53358,53358,577,9702,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"코미디,판타지,공포(호러)",크리스 맥케이,"니콜라스 홀트,니콜라스 케이지,아콰피나"
66,거울 속 외딴 성,2023-04-12,486206285,0.001,486206285,50390,50390,335,4730,일본,일본,,워터홀컴퍼니(주),12세이상관람가,"애니메이션,미스터리,판타지",하라 케이이치,"아시다 마나,키타무라 타쿠미,타카야마 미나미,미야자키 아오이"
67,애프터썬,2023-02-01,480612238,0.001,480612238,49386,49386,64,3077,영국,영국,,"그린나래미디어(주),(주)영화사 안다미로",12세이상관람가,드라마,,폴 메스칼
68,오토라는 남자,2023-03-29,339935730,0.001,339935730,37917,37917,371,5886,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,드라마,마크 포스터,톰 행크스
69,TAR 타르,2023-02-22,377922984,0.001,377922984,37723,37723,197,3165,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,드라마,토드 필드,"케이트 블란쳇,노에미 멜랑,니나 호스"
70,플레인,2023-03-15,345665658,0.001,345665658,37691,37691,358,5405,미국,미국,,(주)누리픽쳐스,15세이상관람가,"액션,스릴러",장-프랑소와 리셰,"제라드 버틀러,마이크 콜터"
71,롱디,2023-05-10,308893500,0.001,308893500,36777,36777,262,4957,한국,한국,"트웰브져니(주),바젤레브스프로덕션",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"멜로/로맨스,코미디",임재완,"장동윤,박유나,고건한"
72,똑똑똑,2023-03-08,298318620,0,298318620,33771,33771,472,6259,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"미스터리,스릴러",M. 나이트 샤말란,"데이브 바티스타,조나단 그로프,루퍼트 그린트"
73,몬스터 하우스2: 인비져블 피닉스,2023-02-02,294228222,0,294228222,33671,33671,357,3069,러시아,러시아,,(주)박수엔터테인먼트,전체관람가,"애니메이션,판타지,어드벤처",데니스 체르노프,석승훈
74,네가 떨어뜨린 푸른 하늘,2023-02-08,308030509,0.001,308030509,32116,32116,449,5370,일본,일본,,"메가박스중앙(주),(주)이놀미디어,(주)바이포엠스튜디오",12세이상관람가,"멜로/로맨스,SF",사이토 유키,"후쿠모토 리코,이타가키 미즈키"
75,메리 마이 데드 바디,2023-05-17,346701400,0.001,346701400,30333,30333,103,2040,대만,대만,,"주식회사 원더스튜디오,(주)리안컨텐츠",12세이상관람가,"코미디,액션",청웨이하오,"허광한,임백굉,왕정,탁종화,채진남"
76,이니셰린의 밴시,2023-03-15,270093801,0,270093801,26692,26692,135,2698,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,"드라마,코미디",마틴 맥도나,"콜린 파렐,브렌단 글리슨,케리 콘든,배리 케오간"
